review_text,rating,review_date,app_version,likes,app_name,category
"stop using AI bots for support, I get the wrong order delivered and can't get resolution, other times my foods were 2 hours late and no resolution.",1,03-03-2026 23:19,,0,Zomato,Food Delivery
good service,5,03-03-2026 23:17,19.3.7,0,Zomato,Food Delivery
i love you ❤️🫦,5,03-03-2026 23:15,,0,Zomato,Food Delivery
good,5,03-03-2026 23:14,19.3.9,0,Zomato,Food Delivery
Ghatiya h,1,03-03-2026 23:13,,0,Zomato,Food Delivery
nice place to order food and I really love it all the coupon and discounts are also amazing love to order more further... thank you zomato 🫶🏻,5,03-03-2026 23:13,19.3.9,0,Zomato,Food Delivery
nice,5,03-03-2026 23:13,19.3.9,0,Zomato,Food Delivery
fraud,1,03-03-2026 23:12,19.4.2,0,Zomato,Food Delivery
very fast service,5,03-03-2026 23:11,,0,Zomato,Food Delivery
nice,4,03-03-2026 23:11,,0,Zomato,Food Delivery
Excellent,5,03-03-2026 23:10,19.3.7,0,Zomato,Food Delivery
really appreciate delivery now,5,03-03-2026 23:08,19.4.2,0,Zomato,Food Delivery
delivery charge jyada leta h faltu h bhai isse acha swiggy h,1,03-03-2026 23:08,,0,Zomato,Food Delivery
good,5,03-03-2026 23:07,19.3.9,0,Zomato,Food Delivery
Wonderful experience,5,03-03-2026 23:04,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 23:04,19.4.2,0,Zomato,Food Delivery
🌻,4,03-03-2026 23:03,19.4.2,0,Zomato,Food Delivery
nice,5,03-03-2026 22:59,19.3.7,0,Zomato,Food Delivery
zero customer support,1,03-03-2026 22:59,19.3.9,0,Zomato,Food Delivery
nice,5,03-03-2026 22:57,19.4.2,0,Zomato,Food Delivery
Okk okk,3,03-03-2026 22:57,19.3.9,0,Zomato,Food Delivery
"I have been using Zomato Gold for very long but it has started giving me issues, 1 hr order delays, no response from delivery partners when called, random nos. given for restaurants and today, my prepaid order was delivered to someone else and then the delivery partner's phone was switched off when I tried calling. The refund was initiated after talking to the customer support, but I didn't receive my food and no compensationg was offered for the trouble caused. I will switch to Swiggy one now!",1,03-03-2026 22:56,19.4.2,0,Zomato,Food Delivery
good,4,03-03-2026 22:56,19.4.2,0,Zomato,Food Delivery
"best app for food delivery, I am loving it",5,03-03-2026 22:53,,0,Zomato,Food Delivery
fast and trusted ap,4,03-03-2026 22:53,19.4.2,0,Zomato,Food Delivery
exlent❤️❤️❤️❤️💯🫶,5,03-03-2026 22:52,19.4.2,0,Zomato,Food Delivery
not much good,2,03-03-2026 22:51,19.4.2,0,Zomato,Food Delivery
excellent! food delivery on time always,5,03-03-2026 22:47,19.3.9,0,Zomato,Food Delivery
new scam on zomato they take your order. they delivery some other order or package comes as if it has been through a shredder. then their AI asks and refuses to id any photo and they simply close the issue on their own and steal your money. you are left with shredded food or something you didnt order. This app and company is inventing new scams daily. couldn't rate lower than 1 else zomato deserves negative for stealing. snd to this they will have an automated reply also for play store,1,03-03-2026 22:47,19.3.9,20,Zomato,Food Delivery
faltu delivery service food take 1 hourbplus just for delivery the driver pickup the order an took more time to deliver use Swiggy zomato is not reliable source customer service is bad to no contact to cancell the order too if getting delayed mornthan 1 hour plus when the location is just 30 mins,1,03-03-2026 22:46,19.3.9,0,Zomato,Food Delivery
I ordered 3 thalis some items were missing I tried to talk to executive but they didn't.awful experience last order from this app shifting to Swiggy or something else.,1,03-03-2026 22:46,19.4.2,0,Zomato,Food Delivery
good experience,5,03-03-2026 22:44,19.3.9,0,Zomato,Food Delivery
Zomato has ups and downs but Zomato did what he can do best even in downs so I really appreciate what it does thank you zomato,5,03-03-2026 22:41,19.4.2,0,Zomato,Food Delivery
supper 😋,5,03-03-2026 22:41,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 22:40,19.4.2,0,Zomato,Food Delivery
👍,5,03-03-2026 22:39,19.3.9,0,Zomato,Food Delivery
bat,3,03-03-2026 22:38,19.4.2,0,Zomato,Food Delivery
Att,5,03-03-2026 22:37,19.4.2,0,Zomato,Food Delivery
every time they give a surprised discount...love it Too Good 👍,5,03-03-2026 22:37,19.4.2,0,Zomato,Food Delivery
excellent delivery on time,4,03-03-2026 22:36,19.4.2,0,Zomato,Food Delivery
nice experience,5,03-03-2026 22:36,19.3.9,0,Zomato,Food Delivery
"User friendly interface, detailed and apt, helps to identify critical details easily and brief in nature.",5,03-03-2026 22:33,19.3.9,0,Zomato,Food Delivery
ok,4,03-03-2026 22:32,,0,Zomato,Food Delivery
good,5,03-03-2026 22:32,,0,Zomato,Food Delivery
If you order for Rs. 100 you will be charged for near to Rs. 100 for a distance of 2 km with 50% off 😂,1,03-03-2026 22:31,,0,Zomato,Food Delivery
Good Price,5,03-03-2026 22:31,19.4.2,0,Zomato,Food Delivery
third class,1,03-03-2026 22:29,19.3.9,0,Zomato,Food Delivery
very high pricing and it keep going up in few minutes waste of money,1,03-03-2026 22:28,19.4.2,0,Zomato,Food Delivery
best of the best,5,03-03-2026 22:25,19.3.9,0,Zomato,Food Delivery
👍,5,03-03-2026 22:23,,0,Zomato,Food Delivery
great service but some times some order too much high price,5,03-03-2026 22:22,19.4.2,0,Zomato,Food Delivery
excellent,5,03-03-2026 22:22,19.4.2,0,Zomato,Food Delivery
Most of the orders are taking almost an hour to deliver,1,03-03-2026 22:21,19.4.2,0,Zomato,Food Delivery
"quality food , good packing",5,03-03-2026 22:20,,0,Zomato,Food Delivery
"Went to Sixteen33 last weekend with my gang and the crowd was exactly what you want on a Saturday night fun and actually there to have a good time.Tried a couple of cocktails recommended by Anna and they were strong and had a proper kick. Even the food surprised us, great portions.",5,03-03-2026 22:20,19.4.2,0,Zomato,Food Delivery
stupid bastard company it shows something and deliver something,1,03-03-2026 22:19,19.4.2,0,Zomato,Food Delivery
Recently they have started grouping the deliveries without division of delivery charges on orders. The orders are delivered late so subscription to Gold will not be a good idea as still order will be late. The rate of food items is much more eg and item available for Rs 410 at restaurant is for Rs 640 on this app and with platform fee etc you pay about 50% extra on this app rather at the restaurant. The bigger the order the more you pay extra. The delivery charges are extra.,2,03-03-2026 22:18,19.4.2,7,Zomato,Food Delivery
one of the worst experience i have seen today. never suggest this app to somebody,1,03-03-2026 22:16,19.3.9,0,Zomato,Food Delivery
"zomato is doing very very very bad these days.VERY VERY BAD online food delivery app, shows delivery time 10-15mins but it will not deliver after 1hour. while ordering food ,food will be delivered in 10-15mins but after ordering food delivery time will increase to 30-35mins.wrost experience, wrost app,day -by-day going wrose",1,03-03-2026 22:14,19.3.9,0,Zomato,Food Delivery
good offers,4,03-03-2026 22:14,,0,Zomato,Food Delivery
woman,2,03-03-2026 22:14,,0,Zomato,Food Delivery
good,5,03-03-2026 22:14,19.4.2,0,Zomato,Food Delivery
"No food is available on zomato. Veg, non-veg.",1,03-03-2026 22:08,19.4.2,0,Zomato,Food Delivery
good,5,03-03-2026 22:08,,0,Zomato,Food Delivery
yummy app,5,03-03-2026 22:08,19.3.9,0,Zomato,Food Delivery
better then Swiggy app❤️✌️,4,03-03-2026 22:08,19.3.9,0,Zomato,Food Delivery
good,5,03-03-2026 22:08,,0,Zomato,Food Delivery
very good 👍 thankyou 🙏,5,03-03-2026 22:06,,0,Zomato,Food Delivery
